ticker,insider_name,transaction_date,👑 CEO,💼 CFO,⚙️ COO,💰 CRO,📈 CIO,🧠 CBO,🪑 Chairman,🎖️ President,🧍 EVP,📊 Portfolio Manager,🔟 10% Owner,📋 Director,🔥 VERY LARGE TRADE,💰 LARGE TRADE,🟢 SMALL TRADE,❓ UNKNOWN SIZE,🐣 MICRO CAP,🌱 SMALL CAP,🌿 MID CAP,🌳 LARGE CAP,🏔️ MEGA CAP,📡 Tech,🏥 Healthcare,🛍️ Consumer Cyclical,⚡ Energy,🏗️ Industrial,🔌 Utilities,🏘️ Real Estate,⚙️ Materials,📞 Communication,🧰 Other,📉 DIP BUY,🚀 BUYING INTO STRENGTH,🔁 CLUSTER BUY,🧠 SMART INSIDER,🧩 MULTIPLE BUYS,📅 NEAR EARNINGS,Automatic/Scheduled,Compensation/Accounting,Ownership Disclaimer/Indirect,Conviction Buy,ticker,insider_name,transaction_date,case1_pred,case2_pred
ASAN,Moskovitz Dustin A.,2025-08-19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,ASAN,Moskovitz Dustin A.,2025-08-19,0.3074493,0.23956965
ASAN,Moskovitz Dustin A.,2025-08-20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,ASAN,Moskovitz Dustin A.,2025-08-20,0.15469837,0.16437857
ASAN,Moskovitz Dustin A.,2025-08-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,ASAN,Moskovitz Dustin A.,2025-08-21,0.09549649,0.037926774
ASLE,Fedder Judith Ann,2025-08-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ASLE,Fedder Judith Ann,2025-08-13,0.8603104,0.7253216
ASUR,Drew William Carl,2025-08-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ASUR,Drew William Carl,2025-08-05,0.78312737,0.5891239
ASUR,Goepel Patrick,2025-08-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ASUR,Goepel Patrick,2025-08-06,0.8810711,0.8748794
ATEX,Gray Timothy,2025-08-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,ATEX,Gray Timothy,2025-08-19,0.59271777,0.27095902
AUB,Ellett Frank Russell,2025-08-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AUB,Ellett Frank Russell,2025-08-05,0.85446745,0.30947772
AUB,Ellett Frank Russell,2025-08-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AUB,Ellett Frank Russell,2025-08-06,0.85446745,0.30947772
AUB,Ellett Frank Russell,2025-08-07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AUB,Ellett Frank Russell,2025-08-07,0.85446745,0.30947772
AUB,Ellett Frank Russell,2025-08-08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AUB,Ellett Frank Russell,2025-08-08,0.85446745,0.30947772
AUPH,TANG KEVIN,2025-08-04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,AUPH,TANG KEVIN,2025-08-04,0.9696184,0.9220823
AUR,Donahoe John J,2025-08-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,AUR,Donahoe John J,2025-08-06,0.3995584,0.2700728
AVNS,BLACKFORD GARY,2025-08-13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AVNS,BLACKFORD GARY,2025-08-13,0.954527,0.85510933
AVTR,SUMME GREGORY L,2025-08-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,AVTR,SUMME GREGORY L,2025-08-21,0.9706113,0.9600141
AXON,Partovi Hadi,2025-08-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AXON,Partovi Hadi,2025-08-13,0.5890834,0.21938926
